continent	region	country	population	density	% urban	% growth	birth rate	death rate	fertility	under 5 mortaility
Africa	Eastern Africa	Burundi	6825.1	245.2	9.9	3.1	44.2	20.6	6.8	187.7
Africa	Eastern Africa	Comoros	768.2	343.7	35	2.8	36.7	8.4	4.9	92
Africa	Eastern Africa	Djibouti	702.5	30.3	84.6	1.6	39.5	17.7	5.7	176.6
Africa	Eastern Africa	Eritrea	4141.1	35.2	19.9	3.7	39.7	11.9	5.4	105.9
Africa	Eastern Africa	Ethiopia	70678	64	16.6	2.5	42.5	17.7	6.1	173.2
Africa	Eastern Africa	Kenya	31987.1	55.1	36.3	1.5	32.5	16.7	4	117.6
Africa	Eastern Africa	Madagascar	17403.6	29.6	31.4	2.8	41.6	13.2	5.7	147
Africa	Eastern Africa	Malawi	12105.3	102.2	15.8	2	44.6	24.1	6.1	186.4
Africa	Eastern Africa	Mauritius	1221.3	598.7	42.2	1	16.2	6.7	1.9	17.9
Africa	Eastern Africa	Mozambique	18863.3	23.5	35.6	1.8	41.2	23.5	5.6	215.1
Africa	Eastern Africa	Réunion	756.2	301.3	73.4	1.4	18.6	5.5	2.3	10.3
Africa	Eastern Africa	Rwanda	8387.2	318.4	6.5	2.2	44	21.8	5.7	178.6
Africa	Eastern Africa	Seychelles	81	178	66.2	0.9	NA	NA	NA	NA
Africa	Eastern Africa	Somalia	9890.1	15.5	28.8	4.2	52.1	17.7	7.3	195.3
Africa	Eastern Africa	Uganda	25827	109.5	15.3	3.2	50.7	16.7	7.1	146.6
Africa	Eastern Africa	United Republic of Tanzania	36976.6	39.1	35.4	1.9	39.3	18.1	5.1	161.6
Africa	Eastern Africa	Zambia	10812.1	14.4	40.2	1.2	42.2	28	5.6	185.5
Africa	Eastern Africa	Zimbabwe	12891.2	33	37.5	0.5	32.1	27	3.9	113.7
Africa	Middle Africa	Angola	13624.8	10.9	36.2	3.2	52.3	23.6	7.2	246.8
Africa	Middle Africa	Cameroon	16017.9	33.7	51.2	1.8	35.4	16.9	4.6	148.5
Africa	Middle Africa	Central African Republic	3864.9	6.2	42.6	1.3	37.7	22.1	4.9	173.3
Africa	Middle Africa	Chad	8597.6	6.7	24.9	3	48.4	19.5	6.7	200.6
Africa	Middle Africa	Congo	3723.6	10.9	67.4	2.6	44.2	15.4	6.3	125
