country	Continent	Region	pop	density	pct.urban	pct.gr	br	dr	fert	under.5.mort
Africa	Africa	NA	850557.6	28.1	38.9	2.2	37.4	15.2	4.9	148.4
Eastern Africa	Africa	Eastern Africa	270317.1	42.5	26.3	2.2	41.3	18.8	5.6	163.4
Burundi	Africa	Eastern Africa	6825.1	245.2	9.9	3.1	44.2	20.6	6.8	187.7
Comoros	Africa	Eastern Africa	768.2	343.7	35	2.8	36.7	8.4	4.9	92
Djibouti	Africa	Eastern Africa	702.5	30.3	84.6	1.6	39.5	17.7	5.7	176.6
Eritrea	Africa	Eastern Africa	4141.1	35.2	19.9	3.7	39.7	11.9	5.4	105.9
Ethiopia	Africa	Eastern Africa	70678	64	16.6	2.5	42.5	17.7	6.1	173.2
Kenya	Africa	Eastern Africa	31987.1	55.1	36.3	1.5	32.5	16.7	4	117.6
Madagascar	Africa	Eastern Africa	17403.6	29.6	31.4	2.8	41.6	13.2	5.7	147
Malawi	Africa	Eastern Africa	12105.3	102.2	15.8	2	44.6	24.1	6.1	186.4
Mauritius	Africa	Eastern Africa	1221.3	598.7	42.2	1	16.2	6.7	1.9	17.9
Mozambique	Africa	Eastern Africa	18863.3	23.5	35.6	1.8	41.2	23.5	5.6	215.1
Réunion	Africa	Eastern Africa	756.2	301.3	73.4	1.4	18.6	5.5	2.3	10.3
Rwanda	Africa	Eastern Africa	8387.2	318.4	6.5	2.2	44	21.8	5.7	178.6
Seychelles	Africa	Eastern Africa	81	178	66.2	0.9	NA	NA	NA	NA
Somalia	Africa	Eastern Africa	9890.1	15.5	28.8	4.2	52.1	17.7	7.3	195.3
Uganda	Africa	Eastern Africa	25827	109.5	15.3	3.2	50.7	16.7	7.1	146.6
United Republic of Tanzania	Africa	Eastern Africa	36976.6	39.1	35.4	1.9	39.3	18.1	5.1	161.6
Zambia	Africa	Eastern Africa	10812.1	14.4	40.2	1.2	42.2	28	5.6	185.5
Zimbabwe	Africa	Eastern Africa	12891.2	33	37.5	0.5	32.1	27	3.9	113.7
Middle Africa	Africa	Middle Africa	100583.4	15.2	37	2.7	47	20.5	6.3	207
Angola	Africa	Middle Africa	13624.8	10.9	36.2	3.2	52.3	23.6	7.2	246.8
Cameroon	Africa	Middle Africa	16017.9	33.7	51.2	1.8	35.4	16.9	4.6	148.5
Central African Republic	Africa	Middle Africa	3864.9	6.2	42.6	1.3	37.7	22.1	4.9	173.3
Chad	Africa	Middle Africa	8597.6	6.7	24.9	3	48.4	19.5	6.7	200.6
Congo	Africa	Middle Africa	3723.6	10.9	67.4	2.6	44.2	15.4	6.3	125
Dem. Republic of the Congo	Africa	Middle Africa	52771.2	22.5	31.6	2.9	50.2	21.4	6.7	219.3
Equatorial Guinea	Africa	Middle Africa	494.2	17.6	51.5	2.6	43.1	16.7	5.9	172.7
Gabon	Africa	Middle Africa	1328.6	5	83.8	1.8	31.6	11.5	4	92
Sao Tome and Principe	Africa	Middle Africa	160.6	166.6	49.1	2.5	33.2	5.8	4	41.5
Northern Africa	Africa	Northern Africa	183598.1	21.5	50.2	1.9	25.9	7	3.2	65.7
Algeria	Africa	Northern Africa	31799.7	13.4	58.8	1.7	22.8	5.5	2.8	48.5
Egypt	Africa	Northern Africa	71931	71.8	42.8	2	26.6	6.2	3.3	47.9
Libyan Arab Jamahiriya	Africa	Northern Africa	5550.9	3.2	88.6	1.9	23.2	4.2	3	22.7
Morocco	Africa	Northern Africa	30565.9	68.4	57.4	1.6	23.2	6	2.7	52.1
Sudan	Africa	Northern Africa	33609.9	13.4	38.9	2.2	33	11.7	4.4	127.2
Tunisia	Africa	Northern Africa	9832.3	60.1	67.4	1.1	17	5.5	2	26.4
Western Sahara	Africa	Northern Africa	308.4	1.2	96.3	2.6	27.5	7.9	3.9	70.9
Southern Africa	Africa	Southern Africa	51677.9	19.3	56.2	0.6	23.8	17.6	2.8	87.9
Botswana	Africa	Southern Africa	1785	3.1	50.2	0.9	30.6	21.4	3.7	104.1
Africa	Africa	NA	-18983.83269	-1.140384615	63.59	1.707307692	31.98021978	15.65494505	4.112087912	113.3
Eastern Africa	Africa	Eastern Africa	-22364.7727	-5.071622889	64.52378049	1.688639775	31.29186813	15.62989011	3.987032967	110.12
Burundi	Africa	Eastern Africa	-25745.71271	-9.002861163	65.45756098	1.669971857	30.60351648	15.60483516	3.861978022	106.94
Comoros	Africa	Eastern Africa	-29126.65272	-12.93409944	66.39134146	1.65130394	29.91516484	15.57978022	3.736923077	103.76
Djibouti	Africa	Eastern Africa	-32507.59273	-16.86533771	67.32512195	1.632636023	29.22681319	15.55472527	3.611868132	100.58
Eritrea	Africa	Eastern Africa	-35888.53274	-20.79657598	68.25890244	1.613968105	28.53846154	15.52967033	3.486813187	97.4
Ethiopia	Africa	Eastern Africa	-39269.47275	-24.72781426	69.19268293	1.595300188	27.85010989	15.50461538	3.361758242	94.22
Kenya	Africa	Eastern Africa	-42650.41276	-28.65905253	70.12646341	1.57663227	27.16175824	15.47956044	3.236703297	91.04
Gambia	Africa	Western Africa	1425.6	126.2	32.5	2.7	35.8	12.7	4.7	134.1
Ghana	Africa	Western Africa	20922.3	87.7	37	2.2	31.9	10	4.1	93.4
Guinea	Africa	Western Africa	8480.3	34.5	28.9	1.6	42.9	16.1	5.8	175.8
Guinea-Bissau	Africa	Western Africa	1492.7	41.3	33.9	2.9	49.9	19.6	7.1	209.8
Liberia	Africa	Western Africa	3367.1	30.2	46.7	4	50	21.5	6.8	229.3
Mali	Africa	Western Africa	13006.7	10.5	32.3	3	49.9	16.2	7	181
Mauritania	Africa	Western Africa	2892.9	2.8	61.8	3	41.8	14.2	5.8	156.4
Niger	Africa	Western Africa	11971.7	9.4	22.1	3.6	55.2	19.1	8	209.9
Nigeria	Africa	Western Africa	124009.2	134.2	46.6	2.5	39.1	13.7	5.4	132.7
Saint Helena	Africa	Western Africa	5	41.3	74.1	0	NA	NA	NA	NA
Senegal	Africa	Western Africa	10094.5	51.3	49.6	2.4	37.1	12.2	5	112.1
Sierra Leone	Africa	Western Africa	4970.9	69.3	38.7	3.8	49.6	29.3	6.5	307.3
Togo	Africa	Western Africa	4909.3	86.5	35.1	2.3	38.5	14.7	5.3	136.4
Asia	Asia	NA	3823389.7	120.4	39.1	1.3	20.5	7.7	2.5	70.6
Eastern Asia	Asia	Eastern Asia	1512321.1	128.6	44.2	0.7	14	7.1	1.8	39.9
China	Asia	Eastern Asia	1304196	135.9	38.6	0.7	14.5	7	1.8	42.7
China, Hong Kong SAR	Asia	Eastern Asia	7049.4	6745.9	100	1.1	8.5	5.9	1	5.2
China, Macao SAR	Asia	Eastern Asia	463.9	25774.5	98.9	0.9	9.7	4.7	1.1	9.5
Dem. People's Rep. of Korea	Asia	Eastern Asia	22663.9	188	61.1	0.5	16.3	11	2	58.4
Japan	Asia	Eastern Asia	127653.9	337.9	79.2	0.1	9.2	8.2	1.3	4.4
Mongolia	Asia	Eastern Asia	2593.9	1.7	56.7	1.3	22.5	7.2	2.4	85.5
Republic of Korea	Asia	Eastern Asia	47700	481.7	83.6	0.6	11.9	5.9	1.4	7.1
South-central Asia	Asia	South-central Asia	1563173.3	145.1	30.6	1.7	25.7	8.6	3.2	93.3
Afghanistan	Asia	South-central Asia	23896.9	36.6	23.2	3.9	47.4	21.5	6.8	280.2
Bangladesh	Asia	South-central Asia	146736.1	1019	26.7	2	28.9	8.3	3.5	87.4
Bhutan	Asia	South-central Asia	2257.4	48	7.9	3	34.5	8.6	5	80
India	Asia	South-central Asia	1065462.3	324.1	28.3	1.5	23.8	8.5	3	84
Iran (Islamic Republic of)	Asia	South-central Asia	68919.6	41.8	66.2	1.2	20.3	5.3	2.3	38.8
Kazakhstan	Asia	South-central Asia	15433	5.7	55.8	-0.4	16.2	9.5	2	58.1
Kyrgyzstan	Asia	South-central Asia	5137.8	25.9	34.3	1.4	21.9	7.1	2.6	46
Maldives	Asia	South-central Asia	318.3	1068	28.9	3	35.8	6.1	5.3	48.6
Nepal	Asia	South-central Asia	25164.2	178.7	12.9	2.2	32.9	9.7	4.3	98.4
Pakistan	Asia	South-central Asia	153577.8	192.9	34.1	2.4	35.9	9.6	5.1	127.8
