Region	State	x1	x2	x3	x4	x5	x6
S	Alabama	63.7	37082	62.1	35887	64.7	36741
NW	Alaska	68.0	6812	65.9	6945	68.0	7297
SW	Arizona	74.2	46733	74.7	47175	75.9	49986
S	Arkansas	73.9	27100	74.8	26984	76.6	27555
W	California	71.6	315189	72.7	325895	74.1	341097
M	Colorado	73.2	39241	74.7	40760	76.4	42379
E	Connecticut	77.5	30388	79.7	32327	80.9	33667
E	Delaware	71.0	6614	69.5	6482	73.0	6817
E	District of Columbia	60.2	2808	68.4	3090	59.6	2725
S	Florida	61.2	111112	63.4	119537	66.7	127484
S	Georgia	58.7	62499	61.1	65983	60.8	66890
W	Hawaii	68.3	10102	72.1	10452	71.3	10013
W	Idaho	79.6	15941	79.3	15874	81.4	15858
MW	Illinois	75.6	110624	77.1	116657	75.9	117507
MW	Indiana	72.1	56172	73.1	56722	75.5	57897
MW	Iowa	82.8	33774	84.1	33789	85.3	34860
S	Kansas	76.5	29360	77.1	29541	76.9	29963
S	Kentucky	69.8	36957	69.8	36337	71.7	37654
S	Louisiana	63.7	38314	64.4	37905	64.1	37610
NE	Maine	76.4	12654	75.6	12593	76.3	12947
E	Maryland	78.7	49222	79.7	50881	79.2	51864
E	Massachusetts	78.9	54393	77.6	55272	75.7	55987
MW	Michigan	75.4	96515	72.9	95001	74.0	100301
MW	Minnesota	83.6	56581	83.9	57440	84.8	59432
S	Mississippi	59.7	23748	61.2	23740	62.7	23810
S	Missouri	75.5	54138	76.8	54487	78.3	56925
M	Montana	80.0	10628	79.8	10554	81.0	10657
MW	Nebraska	83.8	19658	83.9	19910	85.2	20161
W	Nevada	70.0	15127	71.9	16270	72.3	16378
NE	New Hampshire	77.8	12294	77.8	12452	78.2	13210
E	New Jersey	85.4	76130	85.8	77664	87.0	81391
SW	New Mexico	65.9	18199	67.4	18094	63.1	16923
E	New York	61.5	141884	60.5	140139	60.9	143818
S	North Carolina	66.5	63288	68.2	65955	70.1	69696
MW	North Dakota	85.4	8445	85.0	8114	86.4	8169
MW	Ohio	76.5	111281	77.5	110608	79.0	115762
MW	Oklahoma	75.8	37458	76.0	36852	76.0	36694
NW	Oregon	68.3	29939	71.0	31153	73.7	32587
E	Pennsylvania	79.0	114436	80.2	114943	81.7	119933
E	Rhode Island	73.5	8603	75.7	9006	77.7	9318
S	South Carolina	56.5	30026	57.9	31302	59.7	32482
MW	South Dakota	77.4	8881	79.0	8796	83.0	8999
S	Tennessee	59.0	40642	59.6	40894	63.4	44113
S	Texas	70.8	215316	73.5	225167	75.5	238111
M	Utah	81.6	31036	80.5	30183	80.2	29527
NE	Vermont	80.2	6856	82.0	7083	83.6	6970
S	Virginia	77.5	66067	76.7	66519	80.6	72943
NW	Washington	69.2	55081	72.2	58311	74.2	60435
S	West Virginia	75.9	18440	74.2	17128	75.7	17287
MW	Wisconsin	83.3	59341	84.8	60575	85.8	63272
M	Wyoming	73.4	6071	74.4	6106	73.9	5845
