USGS.SN	result	standard deviation	mdc	nucleotide
44322	-2.00E-01	1.40E-01	2.50E-01	Ra224
44323	NA	1.50E-01	2.40E-01	Ra224
44320	4.84E-01	2.80E-01	5.10E-01	Ra224
44321	NA	1.86E-01	3.20E-01	Ra224
43372	2.00E-02	1.30E-01	2.30E-01	Ra224
45344	NA	3.20E-01	4.90E-01	Ra224
45345	NA	1.78E-01	3.20E-01	Ra224
NA	NA	NA	NA	Ra224
45429	NA	3.20E-01	3.50E-01	Ra224
44087	2.70E-01	2.20E-01	3.70E-01	Ra224
44088	4.70E-01	1.86E-01	2.60E-01	Ra224
44179	2.90E-01	2.40E-01	3.90E-01	Ra224
44319	1.13E-01	2.00E+00	3.10E+00	Ra224
44328	4.70E-02	1.94E-01	2.40E-01	Ra224
99904	1.09E-01	NA	NA	Ra224
45219	2.20E-02	2.00E-01	3.70E-01	Ra224
99909	1.11E+00	NA	NA	Ra224
99906	9.64E-01	NA	NA	Ra224
99907	1.52E-01	NA	NA	Ra224
45222	2.15E+00	1.94E-01	3.20E-01	Ra224
43553	2.02E-01	5.00E-01	8.40E-01	Ra224
43468	NA	2.80E-01	5.10E-01	Ra224
99908	8.20E+00	NA	NA	Ra224
45066	5.54E+00	4.00E-01	6.70E-01	Ra224
45426	3.96E+00	1.88E-01	2.50E-01	Ra224
45425	4.93E+00	2.60E-01	3.20E-01	Ra224
45065	NA	2.20E-01	3.10E-01	Ra224
45085	5.80E-01	1.58E-01	2.60E-01	Ra224
45083	3.50E-01	2.40E-01	4.60E-01	Ra224
45084	4.40E-01	1.52E-01	2.70E-01	Ra224
43473	4.90E-01	1.34E-01	2.00E-01	Ra224
47128	4.62E+01	9.40E-02	1.60E-01	Ra224
47129	4.96E+01	8.40E-02	1.40E-01	Ra224
44325	6.37E+01	6.60E-01	8.40E-01	Ra224
43368	7.36E+01	8.20E-01	1.20E+00	Ra224
43475	NA	5.80E-01	1.00E+00	Ra224
43407	8.00E-02	6.20E-01	4.60E-01	Ra224
43831	1.31E-01	1.46E-01	2.20E-01	Ra224
99913	NA	NA	NA	Ra224
