USGS.SN	state	lat	long	geology	age	depth	pop
44322	AK	68.85	147.84	3	45	85	45000
44323	AK	68.85	147.84	3	NA	NA	NA
44320	AK	68.85	147.85	3	16	97	10000
44321	AK	68.85	147.85	3	NA	NA	NA
43372	AR	36.3	91.52	5	26	NA	4200
45344	AZ	33.52	111.9	1	26	1430	10000
45345	CA	34.06	118.08	1	75	378	40000
NA	CA	34.06	118.08	1	NA	NA	NA
45429	CA	36.59	121.88	1	10	481	110000
44087	CA	33.94	117.39	1	53	415	245000
44088	CA	33.94	117.39	1	NA	NA	NA
44179	CA	34.1	117.29	1	27	1104	55000
44319	CO	40.63	103.22	1	14	82	11000
44328	CO	40.26	103.62	1	6	128	5000
99904	CT	41.18	73.19	3	33	60	14400
45219	CT	41	73.67	3	15	52	2340
99909	CT	41.69	73.23	4	NA	560	150
99906	CT	41.46	72.15	4	NA	106	5
99907	CT	41.46	72.15	4	NA	190	5
45222	CT	41.32	71.9	4	8	750	100
43553	FL	27.9	82.78	5	38	314	400000
43468	FL	28.04	81.96	5	16	210	151322
99908	FL	27.33	82.54	5	5	600	65000
45066	GA	32.44	81.77	5	22	384	24000
45426	GA	33.1	81.99	1	NA	NA	5700
45425	GA	33.1	81.99	1	NA	NA	NA
45065	GA	31.49	82.84	5	6	705	3000
45085	GA	31.6	81.88	5	9	890	9000
45083	GA	34.77	84.93	5	NA	NA	21761
45084	GA	34.77	84.93	5	NA	NA	NA
43473	IA	43.26	91.47	2	83	890	4020
47128	IA	41.82	90.63	3	4	260	620
47129	IA	41.82	90.63	3	NA	NA	NA
44325	IA	40.91	91.39	2	38	1850	1900
43368	IA	41.14	91.65	2	8	1910	900
43475	IA	42.07	90.83	5	15	190	137
43407	IA	42.25	90.43	2	51	1500	2400
43831	IA	43.32	91.79	3	20	70	8063
99913	IA	43.32	91.79	3	NA	NA	NA
43951	IL	41.75	88.29	2	40	1719	117000
43968	IL	41.75	88.29	2	NA	NA	NA
44181	IL	41.84	88.3	2	20	1400	6000
44182	IL	41.84	88.3	2	NA	NA	
43845	IL	41.71	88.33	2	41	1340	4600
43846	IL	41.71	88.33	2	NA	NA	NA
44329	IL	41.84	89.48	5	41	1700	6000
44330	IL	41.84	89.48	5	NA	NA	NA
99914	IL	40.75	89.6	3	59	120	113504
44316	IL	41.76	89.69	3	8	130	9700
45125	IN	39.74	86.77	3	5	134	700
44324	KS	37.97	100.86	1	33	377	30000
44967	KS	37.04	100.93	1	2	600	16500
44968	KS	37.04	100.93	1	NA	NA	NA
45424	MD	38.99	76.56	1	NA	NA	450
45423	MD	38.99	76.56	1	NA	NA	NA
45422	MD	38.99	76.56	1	1	100	5
45421	MD	38.99	76.56	1			NA
99905	MD	39.15	76.61	1	51	115	42000
45343	MD	39.53	76.35	4	3	500	2000
45648	MI	47.24	88.45	3	31	100	9228
43409	MI	42.73	84.47	NA	NA	NA	51000
43369	MI	42.7	84.55	2	28	330	100000
43408	MI	42.46	84.17	NA	NA	NA	1200
43544	MN	45.08	93.25	2	38	840	29000
99911	MN	44.45	95.78	3	NA	NA	12000
NA	MN	44.45	95.78	3	NA	NA	NA
43370	MN	43.62	95.6	3	10	106	10000
44177	MN	46.01	92.89	2	1	390	1200
44178	MN	46.01	92.89	2	NA	NA	NA
99912	MN	46.01	92.89	2	NA	NA	NA
99910	MN	44.45	93.16	2	21	388	10500
45603	MO	39.16	91.87	5	14	1500	14000
43949	MO	37.55	94.51	5	25	825	690
43950	MO	37.55	94.51	5	NA	NA	NA
43833	MO	37.71	91.12	5	20	680	748
43546	MO	37.16	94.31	2	7	1500	11000
43552	MO	37.14	94.47	5	86	1015	1875
45428	MO	38.76	93.72	2	NA	NA	7500
43824	MO	36.96	93.72	5	10	1300	6500
43467	MO	37.6	93.41	5	46	1055	8370
47127	MO	37.92	90.54	5	10	700	4000
43472	MO	37.84	94.35	5	14	1200	10000
99903	NC	35.17	78.98	1	18	90	8000
44084	NE	42.11	102.88	1	4	405	9800
44180	NE	42.67	103.4	1	2	102	1200
44085	NE	42.82	103	1	29	265	6000
44086	NE	42.82	103	1	NA	NA	NA
45087	NJ	39.44	75.22	1	33	120	18000
45088	NJ	39.44	75.22	1	NA	NA	NA
45089	NJ	39.48	75	1	65	158	32000
45090	NJ	39.48	75	1	NA		NA
46849	NJ	40.34	74.44	1	45	120	5605
46850	NJ	40.34	74.44	1	NA		NA
43554	NJ	39.92	74.2	1	2	280	8000
43622	NJ	39.81	74.24	1	9	248	1950
43623	NJ	39.81	74.24	1	NA	NA	NA
45224	NJ	40.71	75.03	2	NA	NA	4977
45223	NJ	40.71	74.36	2	NA	NA	19757
45352	NM	34.41	103.22	1	60	368	30000
NA	NM	34.41	103.22	1	NA	NA	NA
44966	OK	36.69	101.47	1	33	360	7800
NA	OK	36.69	101.47	1	NA	NA	NA
43832	PA	40.2	75.09	2	NA	NA	35000
44176	PA	41.05	76.24	5	39	87	16000
44239	PA	40.78	76.23	2	NA	NA	4700
44969	SC	33.32	81.43	1	NA	NA	0
44970	SC	33.32	81.43	1	NA	NA	
44971	SC	33.32	81.43	1	NA	NA	0
44972	SC	33.32	81.43	1	NA	NA	
45220	SC	33.12	81.31	1	NA	NA	0
45221	SC	33.12	81.31	1	NA	NA	
99902	SC	33.73	81.1	1	NA	NA	500
45002	SC	34.28	81.61	4	25	110	600
45052	SC	34.21	81.53	4	21	465	600
45051	SC	34.21	81.53	4	NA	NA	NA
43948	SD	43.43	103.48	1	47	26	1800
45086	SD	43.43	103.48	1	NA	21	2500
44175	SD	43.37	99.85	1	17	230	5000
99901	TX	29.7	95.46	1	29	1630	2209174
45348	TX	29.78	95.18	1	17	1020	3500
45349	TX	29.78	95.18	1	NA	NA	NA
45351	TX	29.78	95.18	1	24	1242	2850
45350	TX	29.78	95.18	1	NA	NA	NA
43411	TX	30.74	99.22	1	27	437	2043
44080	TX	30.74	99.22	1	NA	NA	2043
44078	TX	30.74	99.22	1	15	340	2043
43428	TX	30.74	99.22	1	NA	NA	2000
44079	TX	30.74	99.22	1	2	355	2043
43477	TX	31.16	98.73	5	3	120	2626
43493	TX	31.16	98.73	5	NA	NA	NA
43969	VA	37.77	77.32	1	5	487	400
43914	VA	36.93	77.44	1	10	88	100
43915	VA	36.93	77.44	1	NA	NA	NA
43410	WI	43.94	88.09	5	75	981	3500
43371	WI	43.48	89.74	2	37	387	11000
43545	WI	43.29	89.74	2	NA	NA	2380
43474	WI	43.26	89.74	2	7	565	1430
