Order	Family	Species	M	T	BMR
Artiodactyla 			5088	38.1	13632
Artiodactyla 	Antilocapridae	Antilocapra americana	37800		9318
Artiodactyla 	Bovidae	Connochaetes taurinus	196500		41242
Artiodactyla 	Bovidae	Ovis canadensis	69125		19120
Artiodactyla 	Cervidae	Alces alces	325000	38.6	51419
Artiodactyla 	Cervidae	Capreolus capreolus	21500		8308
Artiodactyla 	Cervidae	Odocoileus virginianus	58588	39	25609
Artiodactyla 	Tayassuidae	Pecari tajacu	20500	37.5	5945
Carnivora 			4452	37.5	1244
Carnivora 	Canidae	Alopex lagopus	3600	38.6	1374
Carnivora 	Canidae	Canis latrans	10000	37	2687
Carnivora 	Canidae	Canis mesomelas	7720	38	3860
Carnivora 	Canidae	Cerdocyon thous	5444	38.2	1524
Carnivora 	Canidae	Fennecus zerda	1215	38.8	583
Carnivora 	Canidae	Vulpes macrotis	1769	38	887
Carnivora 	Canidae	Vulpes vulpes	4440	38.7	2442
Carnivora 	Canidae	Vulpes vulpes alascensis	4725		2481
Carnivora 	Felidae	Acinonyx jubatus	37900	39	8982
Carnivora 	Felidae	Felis concolor	37200	37.6	8842
Carnivora 	Felidae	Felis pardalis	10500	38	3126
Carnivora 	Felidae	Felis rufus	9400		4220
Carnivora 	Felidae	Felis serval	10100	36.5	3137
Carnivora 	Felidae	Felis wiedii	3600	38	937
Carnivora 	Felidae	Felis yagouaroundi	8400	38.4	1737
Carnivora 	Felidae	Panthera leo	98000	37.9	16954
Carnivora 	Felidae	Panthera onca	50400		11189
Carnivora 	Felidae	Panthera tigris	137900	37.5	23995
Carnivora 	Herpestidae	Galerella sanguinea	540	38.7	410
Carnivora 	Herpestidae	Herpestes javanicus	611	39.8	403
Carnivora 	Herpestidae	Suricata suricatta	850	36.3	310
Carnivora 	Hyaenidae	Hyaena hyaena	34300		5728
Carnivora 	Hyaenidae	Proteles cristatus	8100	36.4	2194
Carnivora 	Mustelidae	Eira barbara	2950	38.4	1221
Carnivora 	Mustelidae	Gulo gulo	12700		5694
Carnivora 	Mustelidae	Lutra lutra	10000	38.1	4500
Carnivora 	Mustelidae	Martes americana	900	38	595
Carnivora 	Mustelidae	Martes martes	920		717
Carnivora 	Mustelidae	Meles meles	11050		2984
Carnivora 	Mustelidae	Mustela erminea	75	39.6	165
Carnivora 	Mustelidae	Mustela frenata	225	39	241
Carnivora 	Mustelidae	Mustela vison	660	39	488
Carnivora 	Mustelidae	Spilogale putorius	624	36.4	300
