score,missed
81,1
86,1
80,1
95,1
87,1
80,1
88,1
89,1
88,1
83,1
94,1
87,1
81,1
72,1
92,1
85,1
85,1
91,1
90,1
89,1
91,1
90,1
85,1
73,1
89,1
85,1
84,1
76,1
74,2
80,2
85,2
76,2
79,2
77,2
69,2
75,2
75,2
77,2
84,2
82,2
76,2
75,2
81,2
80,2
73,2
73,2
79,2
82,2
76,2
82,2
79,2
73,2
79,2
70,2
86,2
89,2
75,2
71,2
80,2
76,2
84,3
70,3
74,3
70,3
66,3
71,3
59,3
79,3
71,3
83,3
73,3
66,3
74,3
64,3
62,3
72,3
67,3
70,3
70,3
66,3
67,3
69,3
77,3
61,3
74,3
72,3
71,4
63,4
67,4
67,4
62,4
72,4
72,4
69,4
75,4
68,4
57,4
62,4
58,4
62,4
61,4
65,4
60,4
66,4
61,4
76,4
69,4
70,4
67,4
75,4
61,4
62,4
74,4
61,4
64,4
63,4
63,4
63,4
68,4
64,4
