COUNTRY_NAME,IND1_DESC,1999,2000,2001,2002,2003
Afghanistan,Aid per capita (current US$),5.51,5.31,14.98,45.9,NA
Afghanistan,CO2 emissions (metric tons per capita),0.04,0.03,NA,NA,NA
Afghanistan,"Fertility rate, total (births per woman)",NA,6.84,NA,6.8,NA
Afghanistan,GDP (current US$),NA,NA,NA,NA,NA
Afghanistan,GDP growth (annual %),NA,NA,NA,NA,NA
Afghanistan,"Life expectancy at birth, total (years)",NA,42.96,NA,43.24,NA
Afghanistan,"Mortality rate, infant (per 1,000 live births)",NA,165,NA,165,NA
Afghanistan,"Mortality rate, under-5 (per 1,000)",NA,257,NA,257,NA
Afghanistan,Population growth (annual %),3.21,2.6,2.64,2.67,2.71
Afghanistan,"Population, total",2.59E+07,2.66E+07,2.73E+07,2.80E+07,2.88E+07
Afghanistan,"Primary completion rate, female (% of relevant age group)",0.38,NA,NA,NA,NA
Afghanistan,"Primary completion rate, total (% of relevant age group)",8.1,NA,NA,NA,NA
Afghanistan,"School enrollment, primary (% net)",NA,NA,NA,NA,NA
Afghanistan,"School enrollment, secondary (% net)",NA,NA,NA,NA,NA
Albania,Aid per capita (current US$),157.33,102.48,86.25,100.63,NA
Albania,CO2 emissions (metric tons per capita),0.89,0.92,NA,NA,NA
Albania,Electric power consumption (kwh per capita),1100.97,1165.76,1122.61,NA,NA
Albania,Energy use (kg of oil equivalent per capita),533.23,540.96,547.57,NA,NA
Albania,"Fertility rate, total (births per woman)",2.1,2.14,NA,2.23,NA
Albania,GDP (current US$),3.44E+09,3.69E+09,4.25E+09,4.84E+09,6.12E+09
Albania,GDP growth (annual %),10.1,7.3,7.6,4.7,6
Albania,"Life expectancy at birth, total (years)",73.99,73.99,NA,73.99,NA
Albania,"Literacy rate, adult female (% of females ages 15 and above)",75.99,76.98,98.25,NA,NA
Albania,"Literacy rate, adult total (% of people ages 15 and above)",83.95,84.69,98.71,NA,NA
Albania,"Mortality rate, infant (per 1,000 live births)",NA,24,NA,22,NA
Albania,"Mortality rate, under-5 (per 1,000)",NA,26,NA,24,NA
Albania,Population growth (annual %),-0.03,0.42,0.61,0.57,0.6
Albania,"Population, total",3100000,3113000,3132000,3150000,3169000
Albania,"Poverty headcount, national (% of population)",NA,NA,NA,25.4,NA
Albania,"Primary completion rate, female (% of relevant age group)",NA,107.82,102.14,99.31,NA
Albania,"Primary completion rate, total (% of relevant age group)",NA,106.71,106.12,100.26,NA
Albania,"School enrollment, primary (% net)",99.09,97.19,NA,NA,NA
Albania,"School enrollment, secondary (% net)",71.53,73.91,NA,NA,NA
Algeria,Aid per capita (current US$),4.61,6.62,7.25,11.53,NA
Algeria,CO2 emissions (metric tons per capita),3.03,2.94,NA,NA,NA
Algeria,Electric power consumption (kwh per capita),584.57,611.88,637.72,NA,NA
Algeria,Energy use (kg of oil equivalent per capita),957.16,956.36,954.69,NA,NA
Algeria,"Fertility rate, total (births per woman)",NA,3.05,NA,2.75,NA
Algeria,GDP (current US$),4.76E+10,5.35E+10,5.49E+10,5.59E+10,6.60E+10
Algeria,GDP growth (annual %),3.2,2.4,2.6,4.1,6.84
Algeria,"Life expectancy at birth, total (years)",NA,70.48,NA,70.72,NA
Algeria,"Literacy rate, adult female (% of females ages 15 and above)",55.54,56.99,58.29,59.58,NA
Algeria,"Literacy rate, adult total (% of people ages 15 and above)",65.46,66.71,67.8,68.86,NA
Algeria,"Mortality rate, infant (per 1,000 live births)",NA,50,NA,39,NA
Algeria,"Mortality rate, under-5 (per 1,000)",NA,50,NA,49,NA
Algeria,Population growth (annual %),1.49,1.44,1.47,1.56,1.62
Algeria,"Population, total",3.00E+07,3.04E+07,3.08E+07,3.13E+07,3.18E+07
Algeria,"Poverty headcount, national (% of population)",NA,NA,NA,NA,NA
Algeria,"Primary completion rate, female (% of relevant age group)",NA,95.04,95.39,NA,NA
Algeria,"Primary completion rate, total (% of relevant age group)",NA,95.51,95.79,NA,NA
Algeria,"School enrollment, primary (% net)",92.65,94.24,95.07,NA,NA
Algeria,"School enrollment, secondary (% net)",57.01,59.8,62.02,NA,NA
