"station_european_code","country_iso_code","country_name","type_of_station","station_type_of_area","station_longitude_deg","station_latitude_deg","station_altitude","sabe_country_code","station_city"
"AD0942A","AD","ANDORRA","Background","urban",1.53,42.50,1080.00,,"ANDORRA LA VELLA"
"AD0944A","AD","ANDORRA","Background","rural",1.56,42.51,1637.00,,
"AT0001A","AT","AUSTRIA","Background","suburban",16.35,48.24,207.00,"AT","WIEN"
"AT0002A","AT","AUSTRIA","Background","urban",14.83,47.21,635.00,"AT","KNITTELFELD"
"AT0002R","AT","AUSTRIA","Background","rural",16.76,47.76,117.00,"AT",
"AT0003A","AT","AUSTRIA","Background","urban",14.67,47.17,715.00,"AT","JUDENBURG"
"AT0003R","AT","AUSTRIA","Background","rural",11.70,47.50,463.00,"AT",
"AT0004A","AT","AUSTRIA","Background","urban",15.29,47.44,517.00,"AT","KAPFENBERG"
"AT0004R","AT","AUSTRIA","Background","rural",13.23,47.65,1005.00,"AT",
"AT0005R","AT","AUSTRIA","Background","rural",12.97,46.67,1020.00,"AT",
"AT0006A","AT","AUSTRIA","Background","urban",15.15,47.04,390.00,"AT","VOITSBERG"
"AT0008A","AT","AUSTRIA","Traffic","suburban",16.29,48.13,215.00,"AT","WIEN"
"AT0009A","AT","AUSTRIA","Background","urban",16.37,48.20,173.00,"AT","WIEN"
"AT0010A","AT","AUSTRIA","Background","suburban",11.44,47.27,570.00,"AT","INNSBRUCK"
"AT0011A","AT","AUSTRIA","Traffic","urban",14.28,48.31,269.00,"AT","LINZ"
"AT0012A","AT","AUSTRIA","Background","urban",14.03,48.16,316.00,"AT","WELS"
"AT0013A","AT","AUSTRIA","Traffic","urban",16.36,48.17,220.00,"AT","WIEN"
"AT0014A","AT","AUSTRIA","Traffic","suburban",14.41,48.22,255.00,"AT","LINZ"
"AT0015A","AT","AUSTRIA","Background","urban",14.29,48.29,290.00,"AT","LINZ"
"AT0016A","AT","AUSTRIA","Background","suburban",14.23,48.22,274.00,"AT","LINZ"
"AT0017A","AT","AUSTRIA","Industrial","suburban",16.47,48.15,155.00,"AT","WIEN"
"AT0018A","AT","AUSTRIA","Traffic","urban",16.34,48.18,175.00,"AT","WIEN"
"AT0019A","AT","AUSTRIA","Traffic","urban",16.31,48.20,230.00,"AT","WIEN"
"AT0020A","AT","AUSTRIA","Background","suburban",16.30,48.23,320.00,"AT","WIEN"
"AT0021A","AT","AUSTRIA","Traffic","urban",16.38,48.21,160.00,"AT","WIEN"
"AT0022A","AT","AUSTRIA","Background","suburban",15.41,47.09,348.00,"AT","GRAZ"
"AT0023A","AT","AUSTRIA","Industrial","rural",15.34,47.11,454.00,"AT",
"AT0024A","AT","AUSTRIA","Traffic","urban",13.10,47.68,440.00,"AT","HALLEIN"
"AT0026A","AT","AUSTRIA","Traffic","rural",13.05,48.24,363.00,"AT","BRAUNAU"
"AT0027A","AT","AUSTRIA","Background","suburban",14.44,48.05,307.00,"AT","STEYR"
"AT0028A","AT","AUSTRIA","Background","suburban",13.66,48.00,420.00,"AT","VÖCKLABRUCK"
"AT0029A","AT","AUSTRIA","Background","urban",14.29,48.30,262.00,"AT","LINZ"
