station	CO	country	area	long	lat
BE0185A	0.739	BELGIUM	suburban	4.38	50.88
BE0185A	1.11	BELGIUM	suburban	4.38	50.88
BE0185A	0.744	BELGIUM	suburban	4.38	50.88
BE0185A	0.499	BELGIUM	suburban	4.38	50.88
BE0185A	0.705	BELGIUM	suburban	4.38	50.88
BE0185A	0.499	BELGIUM	suburban	4.38	50.88
BE0185A	0.444	BELGIUM	suburban	4.38	50.88
BE0185A	0.618	BELGIUM	suburban	4.38	50.88
BE0185A	0.443	BELGIUM	suburban	4.38	50.88
BE0185A	0.466	BELGIUM	suburban	4.38	50.88
BE0185A	0.654	BELGIUM	suburban	4.38	50.88
BE0185A	0.466	BELGIUM	suburban	4.38	50.88
BE0185A	0.489	BELGIUM	suburban	4.38	50.88
BE0185A	0.663	BELGIUM	suburban	4.38	50.88
BE0185A	0.489	BELGIUM	suburban	4.38	50.88
BE0185A	0.458	BELGIUM	suburban	4.38	50.88
BE0185A	0.632	BELGIUM	suburban	4.38	50.88
BE0185A	0.458	BELGIUM	suburban	4.38	50.88
BE0185A	0.442	BELGIUM	suburban	4.38	50.88
BE0185A	0.631	BELGIUM	suburban	4.38	50.88
BE0185A	0.442	BELGIUM	suburban	4.38	50.88
BE0185A	0.404	BELGIUM	suburban	4.38	50.88
BE0185A	0.585	BELGIUM	suburban	4.38	50.88
BE0185A	0.404	BELGIUM	suburban	4.38	50.88
BE0189A	0.425	BELGIUM	suburban	4.43	50.94
BE0189A	0.575	BELGIUM	suburban	4.43	50.94
BE0189A	0.424	BELGIUM	suburban	4.43	50.94
BE0189A	0.451	BELGIUM	suburban	4.43	50.94
BE0189A	0.615	BELGIUM	suburban	4.43	50.94
BE0189A	0.449	BELGIUM	suburban	4.43	50.94
BE0189A	0.387	BELGIUM	suburban	4.43	50.94
BE0189A	0.515	BELGIUM	suburban	4.43	50.94
BE0189A	0.385	BELGIUM	suburban	4.43	50.94
BE0189A	0.344	BELGIUM	suburban	4.43	50.94
BE0189A	0.449	BELGIUM	suburban	4.43	50.94
BE0189A	0.344	BELGIUM	suburban	4.43	50.94
BE0203A	0.411	BELGIUM	suburban	3.82	51.19
BE0203A	0.597	BELGIUM	suburban	3.82	51.19
BE0203A	0.41	BELGIUM	suburban	3.82	51.19
BE0203A	0.458	BELGIUM	suburban	3.82	51.19
BE0203A	0.663	BELGIUM	suburban	3.82	51.19
BE0203A	0.458	BELGIUM	suburban	3.82	51.19
BE0203A	0.425	BELGIUM	suburban	3.82	51.19
BE0203A	0.625	BELGIUM	suburban	3.82	51.19
BE0203A	0.424	BELGIUM	suburban	3.82	51.19
BE0203A	0.384	BELGIUM	suburban	3.82	51.19
BE0203A	0.572	BELGIUM	suburban	3.82	51.19
BE0203A	0.384	BELGIUM	suburban	3.82	51.19
BE0292A	1.374	BELGIUM	suburban	4.37	50.82
BE0292A	2.058	BELGIUM	suburban	4.37	50.82
BE0292A	1.398	BELGIUM	suburban	4.37	50.82
BE0292A	1.333	BELGIUM	suburban	4.37	50.82
BE0292A	2.06	BELGIUM	suburban	4.37	50.82
BE0292A	1.329	BELGIUM	suburban	4.37	50.82
BE0292A	1.189	BELGIUM	suburban	4.37	50.82
BE0292A	1.804	BELGIUM	suburban	4.37	50.82
BE0292A	1.189	BELGIUM	suburban	4.37	50.82
BE0292A	1.145	BELGIUM	suburban	4.37	50.82
BE0292A	1.707	BELGIUM	suburban	4.37	50.82
BE0292A	1.149	BELGIUM	suburban	4.37	50.82
BE0292A	0.835	BELGIUM	suburban	4.37	50.82
BE0292A	1.192	BELGIUM	suburban	4.37	50.82
BE0292A	0.84	BELGIUM	suburban	4.37	50.82
BE0292A	0.759	BELGIUM	suburban	4.37	50.82
BE0292A	1.067	BELGIUM	suburban	4.37	50.82
BE0292A	0.76	BELGIUM	suburban	4.37	50.82
BE0292A	0.849	BELGIUM	suburban	4.37	50.82
BE0292A	1.195	BELGIUM	suburban	4.37	50.82
BE0292A	0.846	BELGIUM	suburban	4.37	50.82
BE0292A	0.67	BELGIUM	suburban	4.37	50.82
BE0292A	0.941	BELGIUM	suburban	4.37	50.82
BE0292A	0.669	BELGIUM	suburban	4.37	50.82
BE0292A	0.657	BELGIUM	suburban	4.37	50.82
BE0292A	0.917	BELGIUM	suburban	4.37	50.82
BE0292A	0.658	BELGIUM	suburban	4.37	50.82
BE0292A	0.593	BELGIUM	suburban	4.37	50.82
BE0292A	0.806	BELGIUM	suburban	4.37	50.82
BE0292A	0.594	BELGIUM	suburban	4.37	50.82
BE0292A	0.514	BELGIUM	suburban	4.37	50.82
BE0292A	0.694	BELGIUM	suburban	4.37	50.82
BE0292A	0.513	BELGIUM	suburban	4.37	50.82
BE0296A	0.342	BELGIUM	suburban	5.36	50.94
BE0296A	0.346	BELGIUM	suburban	5.36	50.94
BE0296A	0.448	BELGIUM	suburban	5.36	50.94
BE0296A	0.346	BELGIUM	suburban	5.36	50.94
BE0296A	0.303	BELGIUM	suburban	5.36	50.94
BE0296A	0.401	BELGIUM	suburban	5.36	50.94
BE0296A	0.302	BELGIUM	suburban	5.36	50.94
BE0296A	0.283	BELGIUM	suburban	5.36	50.94
BE0296A	0.372	BELGIUM	suburban	5.36	50.94
BE0296A	0.284	BELGIUM	suburban	5.36	50.94
BE0296A	0.342	BELGIUM	suburban	5.36	50.94
BE0296A	0.448	BELGIUM	suburban	5.36	50.94
BE0372A	0.6	BELGIUM	suburban	4.42	50.85
BE0372A	0.918	BELGIUM	suburban	4.42	50.85
BE0372A	0.605	BELGIUM	suburban	4.42	50.85
BE0372A	0.636	BELGIUM	suburban	4.42	50.85
BE0372A	0.931	BELGIUM	suburban	4.42	50.85
BE0372A	0.634	BELGIUM	suburban	4.42	50.85
BE0372A	0.546	BELGIUM	suburban	4.42	50.85
BE0372A	0.805	BELGIUM	suburban	4.42	50.85
BE0372A	0.544	BELGIUM	suburban	4.42	50.85
BE0372A	0.547	BELGIUM	suburban	4.42	50.85
BE0372A	0.74	BELGIUM	suburban	4.42	50.85
BE0372A	0.546	BELGIUM	suburban	4.42	50.85
BE0372A	0.432	BELGIUM	suburban	4.42	50.85
BE0372A	0.572	BELGIUM	suburban	4.42	50.85
BE0372A	0.434	BELGIUM	suburban	4.42	50.85
BE0372A	0.353	BELGIUM	suburban	4.42	50.85
BE0372A	0.494	BELGIUM	suburban	4.42	50.85
BE0372A	0.355	BELGIUM	suburban	4.42	50.85
BE0372A	0.363	BELGIUM	suburban	4.42	50.85
BE0372A	0.5	BELGIUM	suburban	4.42	50.85
BE0372A	0.359	BELGIUM	suburban	4.42	50.85
BE0372A	0.412	BELGIUM	suburban	4.42	50.85
BE0372A	0.564	BELGIUM	suburban	4.42	50.85
BE0372A	0.412	BELGIUM	suburban	4.42	50.85
BE0372A	0.387	BELGIUM	suburban	4.42	50.85
BE0372A	0.515	BELGIUM	suburban	4.42	50.85
BE0372A	0.386	BELGIUM	suburban	4.42	50.85
BE0372A	0.37	BELGIUM	suburban	4.42	50.85
BE0372A	0.513	BELGIUM	suburban	4.42	50.85
BE0372A	0.37	BELGIUM	suburban	4.42	50.85
BE0394A	0.354	BELGIUM	suburban	4.31	50.82
BE0394A	0.242	BELGIUM	suburban	4.31	50.82
BE0394A	0.242	BELGIUM	suburban	4.31	50.82
BE0404A	0.449	BELGIUM	suburban	4.47	51
BE0404A	0.607	BELGIUM	suburban	4.47	51
BE0404A	0.448	BELGIUM	suburban	4.47	51
BE0404A	0.385	BELGIUM	suburban	4.47	51
BE0404A	0.503	BELGIUM	suburban	4.47	51
BE0404A	0.383	BELGIUM	suburban	4.47	51
BE0404A	0.328	BELGIUM	suburban	4.47	51
BE0404A	0.421	BELGIUM	suburban	4.47	51
BE0404A	0.328	BELGIUM	suburban	4.47	51
BE0404A	0.328	BELGIUM	suburban	4.47	51
BE0404A	0.424	BELGIUM	suburban	4.47	51
BE0404A	0.326	BELGIUM	suburban	4.47	51
BE0460A	0.343	BELGIUM	suburban	5.57	50.61
BE0460A	0.487	BELGIUM	suburban	5.57	50.61
BE0460A	0.344	BELGIUM	suburban	5.57	50.61
BE0184A	0.238	BELGIUM	urban	4.33	50.85
BE0184A	0.39	BELGIUM	urban	4.33	50.85
BE0184A	0.237	BELGIUM	urban	4.33	50.85
BE0184A	0.51	BELGIUM	urban	4.33	50.85
BE0184A	0.711	BELGIUM	urban	4.33	50.85
BE0184A	0.509	BELGIUM	urban	4.33	50.85
BE0184A	0.498	BELGIUM	urban	4.33	50.85
BE0184A	0.694	BELGIUM	urban	4.33	50.85
BE0184A	0.497	BELGIUM	urban	4.33	50.85
BE0184A	0.565	BELGIUM	urban	4.33	50.85
BE0184A	0.766	BELGIUM	urban	4.33	50.85
BE0184A	0.564	BELGIUM	urban	4.33	50.85
BE0184A	0.567	BELGIUM	urban	4.33	50.85
BE0184A	0.746	BELGIUM	urban	4.33	50.85
BE0184A	0.568	BELGIUM	urban	4.33	50.85
BE0184A	0.533	BELGIUM	urban	4.33	50.85
BE0184A	0.707	BELGIUM	urban	4.33	50.85
BE0184A	0.532	BELGIUM	urban	4.33	50.85
BE0184A	0.432	BELGIUM	urban	4.33	50.85
BE0184A	0.58	BELGIUM	urban	4.33	50.85
BE0184A	0.433	BELGIUM	urban	4.33	50.85
BE0184A	0.397	BELGIUM	urban	4.33	50.85
